Artist,Born,Died,Movement(s),Descriptors,Sex,Nationality
Gaspare Traversi,1722,1770,Rococo,Painter,Male,Italian
Goffredo Wals,1590,1638,,Painter,Male,German
Fra Angelico,1395,1455,"Italian Renaissance, Quattrocento",Painter,Male,Italian
John Constable,1776,1837,Romanticism,Painter,Male,British
Caravaggio,1571,1610,Baroque,Painter,Male,Italian
Antonio Mancini,1852,1930,Impressionism,Painter,Male,Italian
Johan Joseph Zoffany,1733,1810,Neoclassicism,Painter,Male,German
"Pesellino, Francesco Pesellino",1422,1457,Italian Renaissance,Painter,Male,Italian
Sebastiono Ricci,1659,1734,Baroque,Painter,Male,Italian
Gustaf Soderberg,1799,1875,,Painter,Male,Swedish
Lorenzo di Credi,1459,1537,Italian Renaissance,Painter,Male,Italian
Charles Bargue,1826,1883,,Painter,Male,French
Jan Brueghel the Elder,1568,1625,Baroque,Painter,Male,Flemish
Vittore Carpaccio,1465,1526,"Mannerism, Quattrocento",Painter,Male,Italian
Santi di Tito,1536,1603,Baroque,Painter,Male,Italian
Charles-Theodore Frere,1814,1888,Orientalism,Painter,Male,French
Joseph Siffred Duplessis,1725,1802,,Painter,Male,French
John Hoppner,1758,1810,,Painter,Male,British
Cornelis Bisschop,1630,1674,"Baroque, Dutch Golden Age",Painter,Male,Dutch
Henry Lerolle,1848,1929,,Painter,Male,French
Bartolomeo Vivarini,1432,1499,Italian Renaissance,Painter,Male,Italian
Thomas de Keyser,1596,1667,,Painter,Male,Dutch
Jacopo Bellini,1400,1470,"Italian Renaissance, Quattrocento",Painter,Male,Italian
Paul Flandrin,1811,1902,,Painter,Male,French
Guercino,1591,1666,Baroque,Painter,Male,Italian
Barthel Bruyn the Elder,1493,1555,,Painter,Male,German
Canaletto,1697,1768,Landscape Painting,Painter,Male,Italian
Angelica Kauffman,1741,1807,Neoclassicism,Painter,Female,Swiss
Peter Paul Rubens,1577,1640,Baroque,Painter,Male,Flemish
Michiel Sweerts,1618,1664,Baroque,Painter,Male,Flemish
Bottichelli,1445,1510,Italian Renaissance,Painter,Male,Italian
Hubert Robert,1733,1808,,Painter,Male,French
Alberto Pasini,1826,1899,Orientalism,Painter,Male,Italian
Alvaro Pirez,1411,1434,,Painter,Male,Portuguese
Bernardo Strozzi,1581,1644,Baroque,Painter,Male,Italian
Anne Vallayer-Coster,1744,1818,,Painter,Female,French
Francesco Trevisani,1656,1746,Rococo,Painter,Male,Italian
baron Antoine Jean Gros,1771,1835,Neoclassicism,Painter,Male,French
Kerstiaen de Keuninck,1560,1632,Baroque,Painter,Male,Flemish
Sano di Pietro,1406,1481,,Painter,Male,Italian
"Willem van de Velde II, Willem van de Velde the Younger",1633,1707,Marine Painting,Painter,Male,Dutch
Justus of Ghent,1410,1480,Quattrocento,Painter,Male,Netherlandish
Domenico Fetti,1589,1623,Baroque,Painter,Male,Italian
Salomon van Ruysdael,1602,1670,,Painter,Male,Dutch
Ulrich Apt the Elder,1460,1532,Gothic,Painter,Male,German
Giovanni Battista Moroni,1520,1579,Italian Renaissance,Painter,Male,Italian
Honore Daumier,1808,1879,Realism,Painter,Male,French
Robert-Leopold Leprince,1800,1847,,Painter,Male,French
Julius von Leypold,,,,Painter,Male,German
Guido Palmeruccio,1315,1349,,Painter,Male,Italian
Segna di Buonaventura,,,Gothic,Painter,Male,Italian
Miguel Alcaniz,,,,Painter,Male,Spanish
Achille-Etna Michallon,1796,1822,,Painter,Male,French
Jan Provost,1462,1529,,Painter,Male,Netherlandish
Ludovico Mazzolino,1480,1528,Italian Renaissance,Painter,Male,Italian
Carl Gustav Carus,1789,1869,Romanticism,Painter,Male,German
Luis Melendez,1716,1780,,Painter,Male,Spanish
Cosme Tura,1430,1495,Quattrocento,Painter,Male,Italian
Moretto da Brescia,1498,1554,Italian Renaissance,Painter,Male,Italian
Benedetto Luti,1666,1724,Baroque,Painter,Male,Italian
August Heinrich,,,,,Male,
Jean-Baptiste Oudry,1686,1755,Rococo,Painter,Male,French
Bernardino Campi,1522,1591,Italian Renaissance,Painter,Male,Italian
Nicolas Lancret,1690,1743,,Painter,Male,French
Quirijn van Brekelenkam,1622,1669,"Baroque, Dutch Golden Age",Painter,Male,Dutch
Goodhart Ducciesque Master,,,,,Male,
Jean Victor Bertin,1767,1842,,Painter,Male,French
Alexandre-Gabriel Decamps,1803,1860,Orientalism,Painter,Male,French
Johan Christian Dahl,1788,1857,Romanticism,Painter,Male,Norwegian
Charles Joseph Natoire,1700,1777,Rococo,Painter,Male,French
Jacob Jordaens,,,,,Male,
Adolph Menzel,1815,1905,Realism,Painter,Male,German
August Lucas,,,,,,
Andrea di Lione,1610,1685,Baroque,Painter,Male,Italian
Fra Filippo Lippi,1406,1469,Quattrocento,Painter,Male,Italian
Marie Denise Villers,1774,1821,Neoclassicism,Painter,Female,French
Pieter Bruegel the Elder,1525,1569,,"Painter, Printmaker",Male,Netherlandish
Peter Candid,1548,1628,Mannerism,Painter,Male,Flemish
Johan Barthold Jongkind,1819,1891,,"Painter, Printmaker",Male,Dutch
Bartolomeo Cavarozzi,1587,1625,Baroque,Painter,Male,Spanish
Annibale Carracci,1560,1609,Baroque,Painter,Male,Italian
Martin van Maytens the Younger,,,,,,
Hans Maler,1480,1529,,Painter,Male,German
Jan Steen,1626,1679,Genre Painting,Painter,Male,Dutch
Arnold Bocklin,1827,1901,Symbolism,Painter,Male,Swiss
Horace Vernet,1789,1863,Orientalism,Painter,Male,French
Sebastien Bourdon,1616,1671,Baroque,Painter,Male,French
"Cornelis Engebrechtsz, Cornelis Engelbrechtsz",1462,1527,,Painter,Male,Dutch
"Nicolaes van Veerendael, Nicolaes van Verendael",1640,1691,Genre Painting,Painter,Male,Flemish
Paolo Uccello,1397,1475,"Italian Renaissance, Quattrocento",Painter,Male,Italian
Pieter Claesz,1597,1660,"Baroque, Dutch Golden Age",Painter,Male,Dutch
Valentin de Boulogne,1591,1632,,Painter,Male,French
Thomas Jones,1742,1803,Landscape Painting,Painter,Male,Welsh
Jean Clouet,1480,1541,,Painter,Male,French
Laurent de la Hyre,1606,1656,Baroque,Painter,Male,French
Charles-Francois Daubigny,1817,1878,Barbizon School,Painter,Male,French
Anton Raphael Mengs,1728,1779,Neoclassicism,Painter,Male,German
Perino del Vaga,1501,1547,Mannerism,Painter,Male,Italian
Jacob van Ruisdael,1629,1682,Dutch Golden Age,Painter,Male,Dutch
George Romney,1734,1802,,Painter,Male,British
Filippo Tarchiani,,,,,,
Georg Fiegel,,,,,,
Hans Schaufelein,1480,1540,,Painter,Male,German
Massimo Stanzione,1586,1656,Baroque,Painter,Male,Italian
Christen Kobke,1810,1848,Romanticism,Painter,Male,Danish
Nicolaes Maes,1634,1693,Dutch Golden Age,Painter,Male,Dutch
Jean-Leon Gerome,1824,1904,Orientalism,Painter,Male,French
Pietro Lorenzetti,1280,1348,Gothic,Painter,Male,Italian
Henri Lehmann,1814,1882,,Painter,Male,French
Jacometto,1472,1497,,Painter,Male,Italian
Michele Gordigiani,1835,1909,,Painter,Male,French
"Leopold Robert, Louis Leopold Robert",1794,1835,,Painter,Male,Swiss
Pierre Hubert Subleyras,1699,1749,"Baroque, Neoclassicism",Painter,Male,French
Pietro Testa,1611,1650,Baroque,Painter,Male,Italian
David Teniers the Younger,1610,1690,Baroque,Painter,Male,Flemish
Joseph Bidauld,1758,1846,,Painter,Male,French
Richard Parkes Bonington,1802,1828,Romanticism,Painter,Male,British
baron Francois Gerard,1770,1837,,Painter,Male,French
Hans Holbein the Younger,1497,1543,,Painter,Male,German
Georges de la Tour,1593,1652,Baroque,Painter,Male,French
Scarsellino,1550,1620,Italian Renaissance,Painter,Male,Italian
Barthel Beham,1502,1540,,Painter,Male,German
Jacob Vosmaer,1574,1641,Dutch Golden Age,Painter,Male,Dutch
Bartolomeo degli Erri,1447,1482,Gothic,Painter,Male,Italian
Nicolas de Largillierre,1656,1746,Rococo,Painter,Male,French
Abraham Bloemaert,1566,1651,Dutch Golden Age,Painter,Male,Dutch
Aelbert Cuyp,1620,1691,"Dutch Golden Age, Landscape Painting",Painter,Male,Dutch
Davide Ghirlandaio,1452,1525,Quattrocento,Painter,Male,Italian
Taddeo di Bartolo,1363,1422,Italian Renaissance,Painter,Male,Italian
Christoffer Wilhelm Eckersberg,1783,1853,Neoclassicism,Painter,Male,Danish
Ludovico Carracci,1555,1619,Baroque,Painter,Male,Italian
"Leon Fleury, Francois Antoine Leon Fleury",1804,1858,Landscape Painting,Painter,Male,French
Joseph Wright,1734,1797,,Painter,Male,British
Spinello Aretino,1350,1410,Italian Renaissance,Painter,Male,British
Giuseppe Bartolomeo Chiari,1654,1727,Baroque,Painter,Male,Italian
Girolamo dai Libri,1474,1555,Italian Renaissance,Painter,Male,Italian
William Bouguereau,1825,1905,Realism,Painter,Male,French
"Malchior d' Hondecoeter, Melchior d'Hondecoeter",1636,1695,Dutch Golden Age,Painter,Male,Dutch
Guido Cagnacci,1601,1663,Baroque,Painter,Male,Italian
Sir Henry Raeburn,1756,1823,,Painter,Male,Scottish
Ubaldo Gandolfi,1728,1781,Baroque,Painter,Male,Italian
Jean Michelin,1616,1670,,Painter,Male,French
Juan de Valdes Leal,1622,1690,Baroque,Painter,Male,Spanish
Jusepe de Ribera,1591,1652,Baroque,Painter,Male,Spanish
Jan van Goyen,1596,1656,Landscape Painting,Painter,Male,Dutch
Jan Davidsz de Heem,1606,1684,"Baroque, Dutch Golden Age",Painter,Male,Dutch
Giacomo Ceruti,1698,1767,Baroque,Painter,Male,Italian
Sir Joshua Reynolds,1723,1792,,Painter,Male,British
Bernhard Keil,1624,1687,Baroque,Painter,Male,Danish
Pierre Charles Tremolieres,1703,1739,,Painter,Male,French
Hans Suss von Kulmbach,1480,1522,,Painter,Male,German
Hugo van der Goes,1430,1482,,Painter,Male,Flemish
William Hogarth,1697,1764,,Painter,Male,British
Federico Barocci,1526,1612,Italian Renaissance,Painter,Male,Italian
"Adriaen Isenbrant, Adriaen Isenbrandt",1480,1551,,Painter,Male,Flemish
Francios Marius Granet,1775,1849,,Painter,Male,French
Johann Liss,1590,1630,Baroque,Painter,Male,German
Liberale da Verona,1441,1526,Italian Renaissance,Painter,Male,Italian
Giovanni Battista Piazzetta,1682,1754,Rococo,Painter,Male,Italian
Giovanni Benedetto Castiglione,1609,1664,Baroque,Painter,Male,Italian
Vittore Crivelli,1440,1502,Quattrocento,Painter,Male,Italian
Simon de Vlieger,1601,1653,Marine Painting,Painter,Male,Dutch
Adriaen Brouwer,1605,1638,Baroque,Painter,Male,Flemish
Jean Bellegambe,1470,1536,,Painter,Male,French
Elisabeth Louise Vigee Le Brun,1755,1842,"Rococo, Neoclassicism",Painter,Female,French
Michelino da Besozzo,1370,1455,Gothic,Painter,Male,Italian
Gabriel Metsu,1629,1667,,Painter,Male,Dutch
Paolo di Giovanni Fei,1345,1411,Gothic,Painter,Male,Italian
William Blake,1757,1827,Romanticism,"Painter, Poet",Male,British
Sebastian Stoskopff,1597,1657,Baroque,Painter,Male,German
Antoniazzo Romano,1430,1510,Italian Renaissance,Painter,Male,Italian
Cosimo Rosselli,1439,1507,Quattrocento,Painter,Male,Italian
Paulus Bor,1601,1669,,Painter,Male,Dutch
"Neroccio de' Landi, Neroccio di Bartolomeo de' Landi",1447,1500,Italian Renaissance,Painter,Male,Italian
Sir Godfrey Kneller,1646,1723,Baroque,Painter,Male,British
Sir David Wilkie,1785,1841,,Painter,Male,Scottish
Marie Guillelmine Benoist,1768,1826,Neoclassicism,Painter,Female,French
Niccolo di Pietro,,,,Painter,Male,Italian
Simone Martini,1284,1344,Gothic,Painter,Male,Italian
Jacopo Bassano,1510,1592,Mannerism,Painter,Male,Italian
Albrecht Durer,1471,1528,,Painter,Male,German
Jan Fyt,1611,1661,Baroque,Painter,Male,Flemish
Carolus-Duran,1837,1917,,Painter,Male,French
"Jan Gossart, Jan Gossaert",1478,1532,,Painter,Male,Flemish
Rosa Bonheur,1822,1899,Realism,Painter,Female,French
Jean-Baptiste Joseph Pater,1695,1736,Rococo,Painter,Male,French
Albert Bartholome,1848,1928,,Painter,Male,French
Alessandro Magnasco,1667,1749,Baroque,Painter,Male,Italian
Hendrick Sorgh,1609,1670,,Painter,Male,Dutch
Martinus Rorbye,1803,1848,Genre Painting,Painter,Male,Danish
Willem Kalf,1619,1693,,Painter,Male,Dutch
Scipione Pulzone,1544,1598,Italian Renaissance,Painter,Male,Italian
Jules Bastien-Lepage,1848,1884,,Painter,Male,French
Antonello da Messina,1430,1479,"Italian Renaissance, Quattrocento",Painter,Male,Italian
Winckworth Allan Meeker,,,,,,
"Charles Alston, Charles Henry Alston",1907,1977,Harlem Renaissance,Painter,Male,American
Beauford Delaney,1901,1979,Harlem Renaissance,Painter,Male,American
Laura Wheeler Waring,1887,1948,Harlem Renaissance,Painter,Female,American
Frans Post,1612,1680,Baroque,Painter,Male,Dutch
Ferdinand Hodler,1853,1918,Symbolism,Painter,Male,Swiss
Louis Leopold Boilly,1761,1845,Genre Painting,Painter,Male,French
Maarten van Heemskerck,1498,1574,Mannerism,Painter,Male,Dutch
Vilhelm Hammershoi,1864,1916,,Painter,Male,Danish
Francesco Granacci,1469,1543,Italian Renaissance,Painter,Male,Italian
Piero del Pollaiuolo,1443,1496,Italian Renaissance,Painter,Male,Italian
Gaetano Gandolfi,1734,1802,Baroque,Painter,Male,Italian
Daniel Mijtens,1590,1648,Baroque,Painter,Male,Dutch
Pierre Henri de Valenciennes,1750,1819,Landscape Painting,Painter,Male,French
Jan Weenix,1640,1719,Dutch Golden Age,Painter,Male,Dutch
Pierre-Auguste Cot,1837,1883,,Painter,Male,French
Fritz Petzholdt,1805,1838,Landscape Painting,Painter,Male,Danish
Jean-Baptiste Marie Pierre,1714,1789,,Painter,Male,French
Jacques de Gheyn II,1565,1629,Mannerism,Painter,Male,Dutch
Pierre Paul Prud'hon,1758,1823,Romanticism,Painter,Male,French
Guido Reni,1575,1642,Baroque,Painter,Male,Italian
Adelaide Labille-Guiard,1749,1803,"Rococo, Neoclassicism",Painter,Male,French
Filippino Lippi,1459,1504,Italian Renaissance,Painter,Male,Italian
Catena,,,,,,
"Fra Carnavale, Fra Carnevale",1420,1484,Quattrocento,Painter,Male,Italian
Nicolas Antoine Taunay,1755,1830,,Painter,Male,French
Cigoli,1559,1613,"Mannerism, Baroque",Painter,Male,Italian
Emmanuel de Witte,1617,1692,Dutch Golden Age,Painter,Male,Dutch
Carl Rottmann,1797,1850,Landscape Painting,Painter,Male,German
Guidoccio di Giovanni Cozzarrelli,,,,,,
Jan van Eyck and Workshop,1390,1441,,Painter,Male,Flemish
Bernhard Strigel,1461,1528,,Painter,Male,German
Anne Louis Girodet-Trioson,1767,1824,Romanticism,Painter,Male,French
Alexandre Cabanel,1823,1889,,Painter,Male,French
Orazio Borgianni,1574,1616,Mannerism,Painter,Male,Italian
Sassetta,1392,1451,Italian Renaissance,Painter,Male,Italian
Thomas Fearnley,1802,1842,Romanticism,Painter,Male,Norwegian
Jules Coignet,1798,1860,Landscape Painting,Painter,Male,French
Alfred Stevens,1823,1906,,Painter,Male,Belgian
Corrado Giaquinto,1703,1765,Rococo,Painter,Male,Italian
Pedro Orrente,1580,1645,Baroque,Painter,Male,Spanish
Gerbrand van den Eeckhout,1621,1674,Dutch Golden Age,Painter,Male,Dutch
Giotto di Bondone,1266,1337,Gothic,Painter,Male,Italian
Jacopo Tintoretto,1518,1594,"Italian Renaissance, Mannerism",Painter,Male,Italian
Bachiacca,1494,1557,Italian Renaissance,Painter,Male,Italian
Joachim Wtewael,1566,1638,Mannerism,Painter,Male,Dutch
Franz Anton Maulbertsch,1724,1796,Rococo,Painter,Male,Austrian
Jan Mostaert,1475,1556,,Painter,Male,Dutch
Pieter de Molijn,1595,1661,Dutch Golden Age,Painter,Male,Dutch
Theodore Caruelle d'Aligny,1798,1871,Landscape Painting,Painter,Male,French
Duccio di Buoninsegna,1255,1319,Gothic,Painter,Male,Italian
Luca Giordano,1634,1705,Baroque,Painter,Male,Italian
Robert Peake the Elder,1551,1619,,Painter,Male,British
Abraham Janssen van Nuyssen,1575,1632,,Painter,Male,Flemish
Hendrick ter Brugghen,1588,1629,Dutch Golden Age,Painter,Male,Dutch
Eustache Le Sueur,1617,1655,,Painter,Male,French
Sebastiano Ricci,1659,1734,Baroque,Painter,Male,Italian
Ilia Efimovich Repin,1844,1930,Realism,Painter,Male,Finnish
"Gaspar de Crayer, Caspar de Crayer",1584,1669,Baroque,Painter,Male,Flemish
Jules Breton,1827,1906,Realism,Painter,Male,French
Rose Adelaide Ducreux,1761,1802,,Painter,Female,French
Vincenzo Foppa,1430,1515,Italian Renaissance,Painter,Male,Italian
Andrea Sacchi,1599,1661,Baroque,Painter,Male,Italian
Paul Delvaux,1897,1994,Surrealism,Painter,Male,Belgian
Rufino Tamayo,1899,1991,Surrealism,Painter,Male,Mexican
Lynn Chadwick,1914,2003,,Sculptor,Male,British
Raphael Soyer,,,,,Male,
Willard Leroy Metcalf,,,,,Male,
Arthur Parton,,,,,Male,
Frederick Arthur Bridgman,,,,,Male,
Harry C. Edwards,,,,,Male,
Albert Herter,,,,,Male,
Asher B. Durand,,,,,Male,
David Gilmour Blythe,,,,,Male,
Daniel Ridgway Knight,,,,,Male,
George Wesley Bellows,,,,,Male,
Winckworth Allan Gay,,,,,Male,
Hiram S. Powers,,,,,Male,
Frederick Childe Hassam,,,,,Male,
George Copeland Ault,,,,,Male,
Marguerite Thompson Zorach,,,,,Female,
Elizabeth Boott Duveneck,,,,,Female,
Carl E. Akeley,,,,,Male,
Malvina Hoffman,,,,,Female,
Joseph Rusling Meeker,,,,,Male,
Richard Saltonstall Greenough,,,,,Male,
Paul Kelpe,,,,,Male,
Mary Shepard Greene Blumenschein,,,,,Female,
Maurice Kish,,,,,Male,
Jacques Lipchitz,,,,,Male,
Morston Constantine Ream,,,,,Male,
John B. Flannagan,,,,,Male,
Alma Hirsig Bliss,,,,,Female,
Elsie Dodge Pattee,,,,,Female,
Eda Nemoede Casterton,,,,,Female,
Bertram Hartman,,,,,Male,
Eldzier Cortor,,,,,Male,
Harry Roseland,,,,,Male,
Mahonri M. Young,,,,,Male,
John Biggers,,,,,Male,
Elie Nadelman,,,,,Male,
Conrad Wise Chapman,,,,,Male,
Robert Laurent,,,,,Male,
Nancy Elizabeth Prophet,,,,,Female,
Arthur Quartley,,,,,Male,
Warren Wheelock,,,,,Male,
Oscar Miestchaninoff,,,,,Male,
George Henry Hall,,,,,Male,
Georg J. Lober,,,,,Male,
Victor David Brenner,,,,,Male,
Julio Kilenyi,,,,,Male,
Bela Lyon Pratt,,,,,Male,
Bolton Coit Brown,,,,,Male,
Sarah Malcolm Freeborn,,,,,Female,
Solon H. Borglum,,,,,Male,
William R. O' Donovan,,,,,Male,
Fritz Hammargren,,,,,Male,
Henry Varnum Poor,,,,,Male,
Francis Augustus Silva,,,,,Male,
Jerome Thompson,,,,,Male,
Donal Hord,,,,,Male,
Henry Mitchell,,,,,Male,
Frederick Sackrider Remington,,,,,Male,
Margaret Foley,,,,,Female,
Waldemar Rannus,,,,,Male,
Enrico Glicenstein,,,,,Male,
John Mackie Falconer,,,,,Male,
Emma Stebbins,,,,,Female,
C. N. Pike,,,,,,
Platt Powell Ryder,,,,,Male,
Bernard Walsh,,,,,Male,
Mabel R. Welch,,,,,Female,
Alexandrina Robertson Harris,,,,,Female,
Lois Mailou Jones,,,,,Female,
Alexander Helwig Wyant,,,,,Male,
Robert Crannel Minor,,,,,Male,
Alfeo Faggi,,,,,Male,
John Koch,,,,,Male,
Concetta Scaravaglione,,,,,Female,
Max Bachmann,,,,,Male,
Mary Coleman Allen,,,,,Female,
Margaret Foote Hawley,,,,,Female,
Mary McMillan,,,,,Female,
William J. Whittemore,,,,,Male,
Grace H. Murray,,,,,Female,
Maria Judson Strean,,,,,Female,
Katherine Smith Myrick,,,,,Female,
Annie Hurlburt Jackson,,,,,Female,
W. Sherman Potts,,,,,Male,
Clara Louise Bell,,,,,Female,
Sarah Eakin Cowan,,,,,Female,
Pamela Vinton Brown Ravenel,,,,,Female,
Carl Weidner,,,,,Male,
Walter Libbey,,,,,Male,
Aaron Draper Shattuck,,,,,Male,
Saul Baizerman,,,,,Male,
Maurice Stern,,,,,Male,
Grafton Tyler Brown,,,,,Male,
John G. Taggart,,,,,Male,
George Biddle,,,,,Male,
Nena de Brennecke,,,,,Female,
Ilya Bolotowsky,,,,,Male,
Albert Swinden,,,,,Male,
Sanford Biggers,,,,,Male,
Laura Ziegler,,,,,Female,
Steven Lang,,,,,Male,
Hank Willis Thomas,,,,,Male,
Kurt Seligmann,,,,,Male,
Kehinde Wiley,,,,,Male,
Theaster Gates,,,,,Male,
Steffani Jemison,,,,,Female,
Alison Elizabeth Taylor,,,,,Female,
Titus Kaphar,,,,,Male,
Arlene Shechet,,,,,Female,
Joseph Kosuth,,,,,Male,
Randy Rodriguez aka Kel 1st,,,,,Male,
Torrick Ablack aka Toxic,,,,,Male,
Leonardo Drew,,,,,Male,
Deana Lawson,,,,,Female,
Howard Mallory,,,,,Male,
Gary Simmons,,,,,Male,
Philip Pearlstein,,,,,Male,
Terence Koh,,,,,Male,
Shinique Smith,,,,,Female,
El Anatsui,,,,,Male,
Nancy Fried,,,,,Female,
John Ahearn,,,,,Male,
Ernest Crichlow,,,,,Male,
Yinka Shonibare MBE,,,,,Male,
Fred Wilson,,,,,Male,
Mickalene Thomas,,,,,Female,
